MasterFile,KABCO,County,RT_UNIQUE,Milepoint,Latitude,Longitude,MannerofCollision,CollisionDate,CollisionTime,CollisionYear,RdwyConditionCode,Weather,Human_Factors,Environmental_Factors,Vehicular_Factors,Mode
73123706,C,PIKE,098-CS-1222  -000,0.664,37.4805323,-82.51902651,SINGLE VEHICLE,20241126,1747,2024,DRY,CLEAR,,,,BICYCLE
73118504,O,PIKE,098-CS-1222  -000,0.664,37.48053324,-82.51902574,ANGLE,20241106,1742,2024,WET,RAINING,,,,
73242928,O,PIKE,098-CS-1222  -000,0.69,37.48090095,-82.5189509,SIDESWIPE-SAME DIRECTION,20251006,856,2025,DRY,CLEAR,,,,
72932720,O,PIKE,098-CS-1222  -000,0.729,37.48146369,-82.51886502,SIDESWIPE-SAME DIRECTION,20230807,1159,2023,DRY,CLOUDY,INATTENTION,,,
73071914,O,PIKE,098-CS-1222  -000,0.743,37.48167663,-82.51887768,REAR END,20240729,1426,2024,DRY,CLEAR,,,,
73157889,O,PIKE,098-CS-1222  -000,0.755,37.4818501,-82.51890606,SIDESWIPE-OPPOSITE DIRECTION,20250218,1027,2025,DRY,CLEAR,INATTENTION,,,
72622737,C,PIKE,098-CS-1222  -000,0.767,37.48201342,-82.51896386,ANGLE,20210504,950,2021,WET,RAINING,INATTENTION,,,
72747527,C,PIKE,098-CS-1222  -000,0.806,37.48262317,-82.51924721,SINGLE VEHICLE,20220325,2214,2022,DRY,CLEAR,,,,PEDESTRIAN
73227950,O,PIKE,098-CS-1222  -000,0.842,37.48299678,-82.51952732,SIDESWIPE-SAME DIRECTION,20250902,1504,2025,DRY,CLEAR,,,,
72981103,B,PIKE,098-CS-1222  -000,0.901,37.48357954,-82.52030326,ANGLE,20231129,1656,2023,DRY,CLEAR,DRUG INVOLVEMENT,,,
72828814,O,PIKE,098-CS-1222  -000,0.914,37.48369258,-82.52050123,BACKING,20221112,2130,2022,WET,CLOUDY,,,,
73187145,O,PIKE,098-CS-1222  -000,1.078,37.48481965,-82.5231099,SINGLE VEHICLE,20250521,2059,2025,DRY,CLEAR,,,,
73005274,O,PIKE,098-CS-1222  -000,1.126,37.48513828,-82.52388885,SINGLE VEHICLE,20240131,647,2024,WET,CLOUDY,,,,
72663025,O,PIKE,098-CS-1222  -000,1.191,37.48538854,-82.52506681,REAR END,20210825,1814,2021,WET,CLOUDY,INATTENTION,,,
73137209,C,PIKE,098-CS-1222  -000,1.224,37.4853478,-82.52569355,ANGLE,20241223,1236,2024,DRY,CLEAR,,,,
73007754,O,PIKE,098-CS-1222  -000,1.261,37.48535801,-82.52645679,SIDESWIPE-OPPOSITE DIRECTION,20240207,800,2024,DRY,CLEAR,,,,
72860792,O,PIKE,098-CS-1222  -000,1.274,37.48514328,-82.52657327,SIDESWIPE-OPPOSITE DIRECTION,20230127,2229,2023,DRY,CLEAR,,,,
